rating,title,description,job_title
3.0,Productive and flexible but not a place to be/stay,"Great flexibility and pay for what it is. Hard to succeed especially while trying to work around other people. Management is held to a certain standard and they often reflect that onto their employees—which brings me to turnover. Until your location rehires too many new employees, then there is not enough time to go around for everyone!",Fresh Associate
1.0,no traing,to demanding and felt hrrible after everyshift good cause it direct hire but thats about it. its good for a last call but if you can do something better i would,Picker/Packer
5.0,The jobs is what you make it ,"Go in with an I can do attitude, on time, with some soy milk and you will be fine… there advancement opportunities just have to be on top of the job board and always pumped",Sortation Associate
4.0,good,"This is not the place to talk about what you don't like about a company you work for, if you don't like how you're being treated find a company that fit your requirements.",Quality Control Inspector
3.0,Its just what you'd expect ,The work is just what you'd expect and improving your rate is constantly being pushed. Overall though working here sucks but its work if you need money this is the place.,Warehouse Associate
2.0,A lot of work with little pay,They should appreciate their workers more. They show favoritism. A lot of work with little pay. I wouldn’t recommend anybody to come work for this company. The flexibility is awesome.,Warehouse Worker
4.0,Good place. Stresses you about rate,"Amazon talks a good talk about how they look out for us employees, but we're really only a number to them. ",Picking
2.0,Stowing and breaking my body while doing it.,"You need to work hard and fast. You cannot make mistakes. That is incredibly hard to do when you get tired from stowing the heavy boxes and walking 10 miles a day. Short breaks. Mandatory overtime (without being paid time and a half). If you miss more than one day, you are automatically fired (if you don't have the PTO to cover it). Very short breaks sitting outside on the hard concrete because the break area is ""still being built"". Very clique-y type environment. Incredibly long hours. Expensive cafeteria. Not that great of pay for the work that you have to do. So not worth it.",Stower
3.0,Repetitive work,"Move product, ship product. Labor intensive job that requires a lot of effort. You can never have a slow day. The metrics are attainable if you put in the effort.",Operations Manager
1.0,Pay was decent,Job was stressful! They didn’t take this pandemic seriously. There were employees who knew they had COVID-19 and still came to work and management knew it!,Fulfillment Associate
3.0,Productive place. ,"Over worked. Training does not meet my expectations. They train to do one thing. But the managers’ way of doing things are totally different. They throw boxes and packages, not caring if they are fragile or not. There expect you to be perfectly ready to perform the duties with minimum on the job training. Breaks are given sparingly. ",Warehouse Associate
1.0,A Soul Crushing furnace of human sacrifice,"Although the pay and benefits are above average, the culture is destructive. The attitude of most managers is dismissive and ignorant of the reality of the employees, the TOT is very short and there are harsh consequences for taking time consuming tasks such as fixing a computer error or using the bathroom, keep detailed scheduled notes for all activities. Finally for all the harsh disgusting environment, poor management support structures, safety issues and frankly unfair break structure, the worst thing of all is the absolute fear management has for hard working and ambitious employees, you don’t move up without being given the worst duties.","Picker, Packer, Stower"
3.0,Slavery at its best!!,Do not go to work here if u are a lazy person!! Other than that money is good benefit are good. That’s it. Management is confused most of the time. It’s a love hate relationship! ,Warehouse Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,Sklaverei ,"Man wird respektlos und schlecht behandelt. Jeder Mitarbeiter ist gleich wertlos und man darf nicht einmal 1 Minute mit einem Arbeitskollegen reden. Es wird das blaue vom Himmel versprochen und bekommt überhaupt nichts. Nur zahnlose Kriecher und abhängige Junkies bekommen Lead Positionen in Halle 1. Boni werden in Gruppenleistung errechnet und da von 200 Mitarbeitern immer irgendeiner krank ist oder Urlaub hat, kann man seine Bonuszahlungen vergessen...",Versand Mitarbeiter 
1.0,"OK if you are hard up for income, else look elsewhere","Personnel functions run totally by computer, actual employees not available, when chat necessary they outsource conversations to low level people in India  who have no authority ",Shopper Team Member
3.0,Packager ,"3rd shift management aren't encouraging or positive with factory workers, that makes it hard working as a team at Amazon. They intimidate workers showing they're in charge.",Package Handler
4.0,Good pay and nice community,Good pay and the management is nice. Competitive atmosphere which encourages you to work harder. They give candy every so often to commend workers of their good job. ,Fulfillment Associate
5.0,Buen ambiente de trabajo,"es una empresa que tiene buen salario y buenas prestaciones, aparte de buen horario de trabajo. Tienes dias de ausencia pagados, y cuidan mucho lo del coronavirus.",Picker/Packer/Shipper
1.0,Don’t work here,"The FCs are a terrible place to work. You’ll see managers without mask when you’re forced to wear one. Even if no one else is around you. People snitch on others. The managers are condescending and downright disrespectful. The conditions are loud, cold, hot, and very depressing. If you got put at a station with someone else, you’d have to shout for them to hear you. No talked to each other on lunch breaks. It was always very quiet.",Warehouse Associate
5.0,Productive heavy lifting ,"Amazon is a good company to work for. I’m in the heavy bulk shipping warehouse. You must learn to drive mostly all PITS. Amazing benefits, discounts  and perks. ",Outbound Clerk
1.0,Back stabbing ,Always looking to blame someone                            Management not willing to help with training ,Loader/Unloader
5.0,Work place,It’s fun and easy money. Come join! Each area and pretty easy and laid back! Easy to move up if you worked in different areas as well. The pay is great and more than most.,Receiving Associate
3.0,Benefits and Pay.,"I took a shot with a warehouse position at Amazon. I started right before holiday season which requires 55 hour weeks. Trial by fire. I can guarantee that if you are new to this type of work environment the first month will be difficult. Beyond that, after you get past the learning curve it's not a bad job. It can strain your personal life because positions like this call for long hours. The pay and benefits are good. I have a medical condition that is controlled through expensive medication. Their standard health plan covers full cost. I honestly thought I would never be able to afford working a job above minimum wage without losing money. They will hire anybody. Seriously anybody. Our work culture is very diverse. The work gets very old and monotonous. It's not built to be long term unless you truly want to stay there. But it's a great opportunity if you need better pay or a bridge job. ",Warehouse Associate
4.0,What can I say? It’s amazon.,"I worked here for a couple months and the job is pretty much repetitive. You have a set schedule every week so you can work around those hours. They give you 100 dollars in credits to spend on Amazon when you first start, they have 401k, insurance, and all that other good stuff. You work 10-12 hours but the pay sort of evens it out. Get premium if you work overnight. You don’t really talk to many people working in certain stations and there aren’t a lot of supervisors to talk to directly. Some things you have to figure out for yourself but I feel like this is somewhat a decent job.",Amazon Fulfillment Associate
2.0,Not a good place to work ,Not a good place to work just another number the equipment you work with is always broken and the people are rude hr suck if you not good at packing they'll put you on something you probably won't like ,"Fulfillment Associate, Amazon"
5.0,Honestly pretty good,Amazon is a pretty darn good company. I work at the RDU5 location and they are really well organized and they get you to learn everything. They are very flexible and taking time off is the easiest. Almost as easy as self employment. Pay is very fair for the work and time flies quick. I enjoy the whole Experience here. ,Scanner/Sorter
4.0,Not bad for the pay.,This is an easy job with great pay. It's a good part-time job but sometimes hard to get more hours if you want them. During the holidays you can work up to 50 hrs a week!,Amazon Warehouse Associate
4.0,Excellent place to learn,"Joined the company as an entry level engineer and got to work on multiple challenging problems. The best part about working at amazon is the ability to change teams. With so many teams working on so many different technologies, you'd feel like a kid in a candy store.",Senior Software Engineer
5.0,Lost of hard work,It's a very draining job where you are on your feet all day. The managers are constantly replaced. The do constantly hire. People are always quitting so it feels like a revolving door.,Store Associate 
3.0,Producttive,"Large learning curve at the beginning. After a couple months, you'll get the hang and will want to switch shifts to learn new areas.",Sorter/Packer
4.0,pays well ,-you are on your feet for 10-12 hours a day on every shift,Safety Specialist
4.0,Easy Job BUT Pretty Boring,"The worst thing about the job is how boring and repetitive the day to day is. Management can also be a struggle but there are some really good ones out there. Overall though, you get paid for doing very simple tasks and it's better than a lot of other warehouses. ",Warehouse Associate
4.0,It’s hard work but only physically,"As a part time ( Flex) I never encountered any problems with anyone. Management are great, they respect every rules you can imagine in 2021 about respecting you as humans. You have an app where you choose when you want to work and also when it’s a better pay. (3, 5 or 0,50 $) per hour. Huge parking lot with always space. Sometimes when you work harder, they come to thank you. You don’t have to talk to anyone if you don’t want to for most of the positions. Also most of the time when you apply you get the bonus of the offer. ",Fullfillment Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
3.0,"Good pay and a set schedule, perfect for someone who likes to know what days they work and won't be called in to work extra.","Overall it was an okay job, the pay is good and so is the schedule depending on what you choose. You start feeling like a robot after a while and the managers and pas would not let me do any other position even though I asked to do something else several times.",Warehouse Worker
3.0,Flexible schedule ,Flexible schedule and a good job to have if you are a part time student. Overall easy job and anyone can understand the basics to work here. Management was okay ,Packer
1.0,Not fair,Too dependent upon n relationships not work experience. Promotions are based on friendships and not on the ability to do job. PA get used and abused by managers and associates ,Amazon Process Assistant
1.0,Amazon is not the place to work,They take up your whole time with work  you have to make rates . Amazon management has alot of favoritism.,Warehouse Associate
4.0,"Easy job, Long hours ",Overall the job is easy and the pay is decent. Hours just can be long especially when you’re required to work overtime on top of your regular 40 hour sechedule,Warehouse Associate
2.0,Too much they want from employees..,"Management no good. They don't listen. I work there from 2 years,  no respect. ",Shopper
5.0,Productive and Fun,Amazon is a good place to work. Amazon has more careers benefits for its fulfillment employees.I will recommend Amazon for my folks to work there in order to get careers  opportunities for themselves.,Fulfillment Associate
2.0,Busy place to work,You would love it if you don't mind working a fast paced and long hours job. There is room to grow and move up the ladder in the company and management is pretty friendly,Warehouse Associate
4.0,Productive,Great place to work. Good pay and flexible schedules. HR and some management sucks but overall the work is pretty easy so that shouldn’t be too much of a problem.,Amazon Fulfillment Associate
1.0,Treat delivery drivers like dirt ,"They don’t care if you find a dead body in the road and are pretty messed up from it. They make you continue your shift as if nothing happened. They don’t care if your child is sick in the hospital, they threaten to fire you if you don’t come in to work. ",Delivery Driver
4.0,Great pay hard work,It’s very Titus work scanning all day and not being able to move a around without getting “time off task” but also depends on the type of warehouse Amazon fresh is by far the best out of all the other disturbing centers best places I’ve worked in.,Amazon Fulfillment Associate
2.0,Whole place is a Joke,"Over all its an ok place to work only if you like to kiss up to people to get a different job rank. They move people up just based on who they know and not their work ethic. Management neve fixes any problems/concerns you bring to them. They praise the laziest of workers. If you're a hard worker and take pride in what you do, then you'll be the one who gets thrown under the bus and have to pick up others slack. HR are some of the rudest people to have to talk to. If you get hurt while working and have doctors orders for certain work limits, HR does NOT fully abide by them. The Workers Comp doctor they will send you to, is a quack. Just a few of the problems with working there. ",Sortation Associate
5.0,Great Company,"Lots of stuff coming up and moving. This company is team dependent from what I understand, but all teams I've interacted with are great teams to work for. ",Software Development Engineer II
3.0,Amazon,Work hard and very understaffed. It's better to move up the ladder if you have a great relationship with your manager. Not sure if growing is really a priority.,Staffing Coordinator
5.0,Excellent work from home. ,Loved my first position there. Excellent training and easy way to swap and request time off. I worked from home so it was a little bit more comfortable. ,Customer Service Representative
3.0,Deceptive,"Make sure if you are injured in any way, no matter how small, that it is documented...observed...and you have gone to AMCARE. They will lead you on to have you not report injuries, like they are doing you a favor.","Fulfillment Associate, Distribution Center"
2.0,It's a warehouse,"Everything you do is timed and rated. Management changed constantly. Little to no screening is done with new hires (they will hire anyone who can pass an oral drug test) so your work team is.... interesting. You'll get written up for the slightest discrepancies in your tracked worked history and unless you're willing to fight it and fight it hard, there's nothing you can do about it. ",Warehouse Associate
4.0,Cool place ,"It’s pretty Easy work and pretty Decent benefits and pretty good pay, just wear comfy shoes however. There is a lot of standing so where shoes that don’t hurt your feet",Fulfillment Associate
4.0,Benefits and Short Work Weeks,"Amazon is good job, definitely not horrible but its to be expected at a warehouse job. My current location is definitely one of the better ones. My original Amazon building (Merch) i started with was bad though. They tricked all their white badges (seasonal) to go to a different facility. Which was an hour away with no tolls,so i wouldn't get ""LAID OFF"".",Induct Associate
4.0,Amazon is your oyster,"The feel of a mature company, with a start up mentality. Great place to learn, challenge yourself with side projects, and do impactful work. Internal mobility is feasible and you can change career direction without many barriers. ",Recruiting Coordinator
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,"Busy work, cheap wages","Busy work, cheap wages",amazon flex
1.0,Management and HR are not good,Everyone in a leadership position is horrible at their job and I have never ever in my life come across an HR office like theirs. They get irritated they have to help you and don’t look for what’s best for you. They disregard irresponsible managers and dont care about your safety. I would never recommend anyone to work there.,Picker/Packer
5.0,Productive and fun workplace,Had a lot fun while being productive.  Learned something new almost everyday and benefits are amazing. Management is awesome and co-workers are fun and respectful. ,Warehouse Associate/Forklift Operator
5.0,Productive and fun to work,It’s okay but could be better but management needs a little more work they need to work on the company trucks also they be breaking down every single day and packages be delivered late sometimes ,Workers Compensation Specialist
1.0,Bad place ,"Don’t work here , management is a joke , they will replace you anyway. It’s all about numbers but what do you expect from warehouse work.  Not my type of work. ",Associate
3.0,You are a drone and belong to them.,"Lots of mandatory OT, very easy physically demanding repetitive mind melting warehouse work.",Fulfillment Associate
4.0,Pretty good working place enjoyed the time I had,It’s a good side job if you want to pay minor bills and things but overall the job was good had good pay some benefits and good cafeteria for break time ,Warehouse Worker
1.0,Overworked to the bone,"My first few days there I had someone tell me people don't last more than 3 years and it didn't take long to see why. Management will work you to the bone and you can't sit down! I was a packer which is one of the easier jobs at the warehouse, but it's still a lot of standing and walking from one place to another. Shifts are 10 hours longs with two 30 minute breaks throughout the day. They try not to have any workers just standing waiting for an order so if they don't see you working they will assume you're either slacking off or you don't have any work which then they'll move you to a different place. Getting in touch with HR is the worst! There are 3 different HR's 1.) the physical one in the warehouse. 2.) the outsourced HR in India who have no idea how to handle a situation through no fault of their own, they're given a basic manuscript and if your problem doesn't fit the criteria they can't really help you. 3.) the one that emails you if you go through the app. I would highly recommend staying away from this job, they will overwork you. Not to mention you don't always know when they'll spring overtime on you!",Work History Warehouse Associate
3.0,Constant harassment ,"I actually really enjoyed my time at this place, I would constantly think in my head I can get use to this for a while, be on good terms with management, one manager in particular is the reason I left, he would constantly follow me to me breaks and take them the same time as I did, and he wouldn’t assign me work just so I could come to the desk and he could tell me all the things I was doing wrong, I’ve also met very ignorant elders here, but if you mind your business and everyone else does too it’s a really good job, just management.",Order Picker
2.0,Nice being able to help people ,"Helping people do leave of absence claims has been nice, but the management in DLS is garbage. They have unrealistic expectations and they never have your back on anything. ",DSL Case Manager
5.0,Easy and good pay,"I worked here for a few months but left due to the location being too far from me. The work is easy, a bit of a workout during some parts but it's easy. You just have to not be slow, keep at a good pace and you'll do well. They recognize us when we are doing well too which is nice. I think the pay is worth the work. A lot of people leave because they can't handle it but work for me it was simple. It's repetitive and boring sometimes but like I said, worth it. ",Seasonal Warehouse Associate
5.0,They care for they workers and Customers ,I luv working at Amazon it’s a very physical job but if u have health issues it’s very challenging at times especially if you have MET that’s the only downside about Amazon I don’t like MET …I need all the rest I can get after working ….. Amazon have a great Benefit package Health and School wise ….. Also they make it fun for the workers ….,Stower
5.0,Fun place to work ,Super easy job for great pay. Management was confused a lot but otherwise good job.  Fun environment until your stowing. Then it’s super quiet. Wish you could play music or they played a radio,Warehouse Associate
4.0,No hassle job,"Do your job, computer runs everything as far as time card.  don't have to be shy about calling in sick to any one person, just use app.  Everyone stays out of your business.  It's like a Bee hive.",Amazon Fulfillment Associate
3.0,Fun place to work ,Takes some time to get used to this place but other than that you can meet some great and some very questioning people. Sometimes you get free lunch as well,Gateway team member 
2.0,Alright place to work ,"Nobody talks to you, nobody checks in on you, only time they come by is when you are doing a bad job. Everybody keeps to themselves there so I guess that is a good thing ",Inbound Stower
4.0,Good n tough ,"Just work hard and all is well.  Slackers get found out and sent packing.   Don't cry just work hard.  Money is good, benefits lacking but overall worth it.",Stower
3.0,"Tiring physical labor, decent pay, good benefits, plenty of opportunities for extra time, poor management communication","I worked at Amazon as an Outbound associate. My job was basically grabbing staged containers filled with packages and walking them across the other side of the warehouse, then loading them into trucks or staging nearby. Other roles including loading trucks with packages from conveyor belts. It is HOT in the warehouse, especially when loading inside the trucks. There are fans that point into the truck, but they provide little comfort. There are areas that have water, but some areas without. Expect to walk, even just to get to a water station.",Outbound Associate
4.0,"Fast paced work, probably would have stayed longer if i lived closer ","No real issues with the work. Hard work pays off, management recognizes it when you're diligent, progressed quickly. Very good workout working in a sortation facility, so that's a plus if you're trying to lose weight ",Process Guide
2.0,Long hours and not valued as a person,"Amazon pays well, but the hours and work are in no way worth it. The mental and physical pain is like no other place I have worked. The hours are long with barely any break. No sitting or resting for 10-12 hours straight. Shrugged off and made to work even when presenting as sick or medical problems.","Fulfillment Associate, Amazon"
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
2.0,Poor management and long hours,Work ethic doesn’t count in this place it’s all about who you are friends with. Managment doesn’t do there job efficiently and are very disrespectful. Place is unorganized but want you to follow all there rules they input new ones everyday. ,Package Handler
3.0,Good benefits,Amazon has average pay. The benefits are good. They offer medical vision and dental. The time is decent as well. It is a fast paced environment with some heavy lifting.,Amazon Warehouse Associate
5.0,Good place to work if you don't mind long hours and six days of work during Christmas time and prime week.,"The pat and benefits are best. There is no work life balance, you are working 10 hours a day and the work is very tiring. There is very little chances of promotion if you start as an level 1 associate. ",Warehouse Associate
3.0,Not what it used to be ,"This place started out fun when it first launched and went downhill fast. Roles were constantly changing. Hiring people fresh out of college with no previous job experience to be managers, promoting people based on favoritism. Lack of communication between departments and shifts. ",Warehouse Associate
3.0,co-workers are friendly and helpful,"The PA Assistants, learning ambassadors, learning safety committee assistants could do more than just walk the floor. when the lines are busy stocking up with boxes and packages that's when they should lend a hand to help instead of doing nothing, walking up and down the warehouse. ",Warehouse Associate
2.0,Amazon.com is an excellent company for younger adults who is trying to find quick employment.,"I worked with Amazon.com for four years straight and transferred to two different locations. Amazon.com can be a fun place to work, but management is trained to make your life worst for no reason. The best thing about working at Amazon.com is their benefits!",Amazon Associate
5.0,Productive play to work,"Tons to do, but it is stress free depending on the person and the volume of packages. Most if not all managers are very helpful when you need them.   Down side, not many opportunities to pick up extra time.",Amazon Warehouse Associate
